,audio_file,detections_to_keep
0,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,"(2,3,4,5,6,7,8)"
1,matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,"(0,1,3)"
2,matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,
3,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,
4,matching_annotaudio_Aditya_2018-08-16_21502300_108_hp,
5,matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,
6,matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,
7,matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,
8,matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,
9,matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,
