,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement
0,False,False,True,0.002,-2.9959999999999987,True,-3.956000000000003,-1.0239999999999974,cf_duration
0,True,False,False,0.095,0.17200000000000015,False,-0.16399999999999992,0.3840000000000001,tfm_duration
0,True,False,False,0.7478,-0.03600000000000003,False,-0.22399999999999998,0.242,ifm_duration
0,True,False,False,,-1.001560035686424,False,-3.1266793834196704,1.3412775463682607,cf_peak_frequency
0,True,False,False,0.1996,-1.1281620549970626,False,-3.0348107003345746,0.511699014364666,tfm_terminal_frequency
0,True,False,False,0.6754,0.40467944410301016,False,-2.651171658980431,2.5425026517471423,ifm_terminal_frequency
0,False,False,True,0.1916,-1.4476953553666583,False,-3.645323165780468,-0.14998764665614317,cf_dbrms
0,True,False,False,0.0244,-2.6031517595853657,True,-4.452209735983843,0.5192579984394143,tfm_dbrms
0,True,False,False,0.3444,-1.5524197100926855,False,-4.118310443048898,1.2873507212604949,ifm_dbrms
0,True,False,False,0.18,-1.0585038758268297,False,-1.8539602431962834,0.5658061168689601,tfm-cf_dbratio
0,True,False,False,0.683,0.2699267662683731,False,-0.6453671807430856,1.7859827470245788,ifm-cf_dbratio
0,True,False,False,0.0926,1.852892596913815,False,-0.13405933598560438,3.654469868471036,tfm_bw
0,True,False,False,0.536,0.569361380846706,False,-2.5683065344528373,2.754352371786524,ifm_bw
