,param_name,median_diff,2.5pctile_bca,97.5pctile_bca
0,cf_duration,-2.9959999999999987,-3.928000000000006,-0.9399999999999977
1,tfm_duration,0.17200000000000015,-0.17199999999999993,0.3760000000000001
2,ifm_duration,-0.03600000000000003,-0.22799999999999998,0.23199999999999998
3,cf_peak_frequency,0.36223852156085456,-0.2904642258107941,1.1161582159202226
4,tfm_terminal_frequency,-1.1281620549970626,-3.0732521380410276,0.5426927555329115
5,ifm_terminal_frequency,0.40467944410301016,-2.7006349777352625,2.584165386584729
6,cf_dbrms,-1.4476953553666583,-3.66893151691027,-0.15863066857789931
7,tfm_dbrms,-2.6031517595853657,-4.4944596415688665,0.5869229853537803
8,ifm_dbrms,-1.5524197100926855,-4.190405986037092,1.4510234594135412
9,tfm-cf_dbratio,-1.0585038758268297,-1.803080165141643,0.6480541987048172
10,ifm-cf_dbratio,0.2699267662683731,-0.6093961955604374,1.7499383604207912
11,tfm_bw,1.852892596913815,-0.10253922113257552,3.7344787432975064
12,ifm_bw,0.569361380846706,-2.6961595117622714,2.865721720497138
