No.,date,time,repeated_annotation_id,comments,additional_comments
1,16.08.18,21:50-23:00,Aditya_2018-08-16_21502300_36,Same as Aditya_2018-08-16_21502300_37,
2,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_161,Same as Aditya_2018-08-16_2324_160,
3,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_162,Same as Aditya_2018-08-16_2324_163,
4,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_169,Same as Aditya_2018-08-16_2324_168,
5,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_206,Same as Aditya_2018-08-16_2324_205,
6,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_207,Same as Aditya_2018-08-16_2324_208,
7,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_210,Same as Aditya_2018-08-16_2324_209,
8,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_212,Same as Aditya_2018-08-16_2324_211,
9,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_215,Same as Aditya_2018-08-16_2324_214,
10,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_216,Same as Aditya_2018-08-16_2324_217,
11,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_220,Same as Aditya_2018-08-16_2324_218,Difference in Behaviour. Video Rechecked.
12,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_221,Same as Aditya_2018-08-16_2324_219,Difference in Behaviour. Video Rechecked.
13,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_224,Same as Aditya_2018-08-16_2324_225,
14,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_226,Same as Aditya_2018-08-16_2324_227,
15,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_229,Same as Aditya_2018-08-16_2324_228,Difference in Behaviour. Video Rechecked.
16,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_230,Same as Aditya_2018-08-16_2324_231,
17,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_232,Same as Aditya_2018-08-16_2324_233,
18,16.08.18,23:00-00:00,Aditya_2018-08-16_2324_235,Same as Aditya_2018-08-16_2324_234,
19,17.08.18,00:00-01:00,Aditya_2018-08-17_01_14,Same as Aditya_2018-08-17_01_13,
20,17.08.18,00:00-01:00,Aditya_2018-08-17_01_15,Same as Aditya_2018-08-17_01_16,
21,17.08.18,00:00-01:00,Aditya_2018-08-17_01_17,Same as Aditya_2018-08-17_01_18,
22,17.08.18,00:00-01:00,Aditya_2018-08-17_01_20,Same as Aditya_2018-08-17_01_19,
23,17.08.18,00:00-01:00,Aditya_2018-08-17_01_23,Same as Aditya_2018-08-17_01_22,
24,17.08.18,01:00-02:00,Aditya_2018-08-17_12_24,Same as Aditya_2018-08-17_12_25,
25,17.08.18,01:00-02:00,Aditya_2018-08-17_12_27,Same as Aditya_2018-08-17_12_26,
26,17.08.18,01:00-02:00,Aditya_2018-08-17_12_29,Same as Aditya_2018-08-17_12_28,
27,17.08.18,03:00-04:00,Aditya_2018-08-17_34_62,Same as Aditya_2018-08-17_34_63,
28,17.08.18,03:00-04:00,Aditya_2018-08-17_34_64,Same as Aditya_2018-08-17_34_65,
29,17.08.18,03:00-04:00,Aditya_2018-08-17_34_66,Same as Aditya_2018-08-17_34_67,
30,17.08.18,03:00-04:00,Aditya_2018-08-17_34_122,Same as Aditya_2018-08-17_34_123,
31,17.08.18,03:00-04:00,Aditya_2018-08-17_34_124,Same as Aditya_2018-08-17_34_125,
32,17.08.18,03:00-04:00,Aditya_2018-08-17_34_127,Same as Aditya_2018-08-17_34_126,Difference in starting frame. Video Rechecked.
33,17.08.18,03:00-04:00,Aditya_2018-08-17_34_129,Same as Aditya_2018-08-17_34_128,Difference in Behaviour. Video Rechecked rechecked
34,17.08.18,03:00-04:00,Aditya_2018-08-17_34_131,Same as Aditya_2018-08-17_34_130,
35,17.08.18,03:00-04:00,Aditya_2018-08-17_34_132,Same as Aditya_2018-08-17_34_133,
36,17.08.18,03:00-04:00,Aditya_2018-08-17_34_134,Same as Aditya_2018-08-17_34_135,
37,17.08.18,03:00-04:00,Aditya_2018-08-17_34_136,Same as Aditya_2018-08-17_34_137,Difference in Behaviour. Video rechecked.
38,17.08.18,03:00-04:00,Aditya_2018-08-17_34_138,Same as Aditya_2018-08-17_34_139,
39,17.08.18,04:00-05:00,Aditya_2018-08-17_45_77,Same as Aditya_2018-08-17_45_76,
